Frequency Set (GHz)	THz Photocurrent (nA)	Delay Length (mm)	Frequency Act (GHz)	(Frequency corr. smooth (GHz))	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Offset Fit	Amplitude FFT	Phase FFT	Frequency FFT	Offset FFT	Timestamp (s)
100.000	-0.006	0.000	100.001	100.000	7.224	2.780	0.680	-0.357	0.000	4.062	0.680	1551980.738	1740152743.291
100.200	-0.043	0.000	100.034	100.018	7.419	2.849	0.682	-1.539	0.000	4.165	0.682	95644.220	1740152743.610
100.400	0.021	0.000	100.135	100.101	8.722	3.243	0.683	-2.050	0.000	3.271	0.683	686557.475	1740152743.911
100.600	-0.030	0.000	100.273	100.230	8.603	4.127	0.685	-1.073	0.000	4.113	0.685	346796.943	1740152744.226
100.800	0.063	0.000	100.455	100.399	4.507	4.686	0.686	-0.624	0.000	4.687	0.686	946311.931	1740152744.554
101.000	0.043	0.000	100.627	100.575	5.417	4.875	0.687	0.643	0.000	4.873	0.687	203253.304	1740152744.860
101.200	-0.043	0.000	100.827	100.767	5.754	5.482	0.689	0.751	0.000	5.504	0.689	4201.951	1740152745.179
101.400	0.048	0.000	101.015	100.963	8.298	5.950	0.690	1.498	0.000	5.940	0.690	41598.685	1740152745.471
101.600	-0.023	0.000	101.221	101.159	14.292	0.631	0.691	2.660	0.000	2.059	0.691	1241518.125	1740152745.784
101.800	-0.017	0.000	101.443	101.375	14.452	1.933	0.693	-0.971	0.000	3.380	0.693	91285.380	1740152746.111
102.000	-0.080	0.000	101.617	101.565	13.373	2.546	0.694	-2.344	0.000	3.997	0.694	10571.459	1740152746.418
102.200	-0.029	0.000	101.826	101.765	23.101	3.318	0.695	-5.297	0.000	3.333	0.695	3540918.918	1740152746.738
102.400	0.055	0.000	102.024	101.967	25.066	4.812	0.697	0.556	0.000	4.815	0.697	314614.589	1740152747.059
102.600	0.012	0.000	102.225	102.170	18.545	5.639	0.698	3.027	0.000	5.642	0.698	2798.436	1740152747.358
102.800	-0.029	0.000	102.440	102.376	20.407	0.175	0.700	4.097	0.000	1.692	0.700	584044.461	1740152747.684
103.000	-0.020	0.000	102.615	102.564	19.470	0.926	0.701	2.045	0.000	2.436	0.701	121213.498	1740152747.986
103.200	0.043	0.000	102.823	102.762	27.838	1.794	0.702	-1.675	0.000	3.347	0.702	41545.695	1740152748.311
103.400	0.005	0.000	103.022	102.968	42.764	3.229	0.704	-9.147	0.000	3.241	0.704	3321026.123	1740152748.610
103.600	-0.004	0.000	103.215	103.161	21.735	4.312	0.705	-1.350	0.000	4.301	0.705	195676.395	1740152748.898
103.800	0.007	0.000	103.383	103.337	20.797	5.109	0.706	2.273	0.000	5.121	0.706	96115.629	1740152749.169
104.000	0.054	0.000	103.571	103.522	19.902	5.849	0.708	3.841	0.000	5.833	0.708	262709.862	1740152749.424
104.200	0.014	0.000	103.790	103.721	17.436	0.611	0.709	3.167	0.000	2.224	0.709	1099473.482	1740152749.735
104.400	-0.020	0.000	104.001	103.937	15.426	1.261	0.710	1.502	0.000	2.881	0.710	2271965.629	1740152750.052
104.600	0.027	0.000	104.216	104.157	18.247	2.576	0.712	-3.594	0.000	4.222	0.712	321715.740	1740152750.368
104.800	0.045	0.000	104.392	104.347	8.648	3.710	0.713	-1.433	0.000	3.685	0.713	108830.073	1740152750.627
105.000	-0.007	0.000	104.610	104.542	7.464	3.973	0.714	-0.942	0.000	3.947	0.714	55155.852	1740152750.947
105.200	-0.026	0.000	104.807	104.750	6.127	4.028	0.716	-0.067	0.000	4.006	0.716	878983.370	1740152751.249
105.400	0.009	0.000	105.021	104.958	12.958	4.661	0.717	-0.338	0.000	4.655	0.717	499274.390	1740152751.567
105.600	-0.053	0.000	105.224	105.168	22.599	5.753	0.719	5.026	0.000	5.755	0.719	1338821.862	1740152751.871
105.800	-0.027	0.000	105.438	105.374	26.031	0.763	0.720	3.474	0.000	2.488	0.720	131202.420	1740152752.196
106.000	-0.023	0.000	105.640	105.576	23.227	1.870	0.721	-1.692	0.000	3.637	0.721	192236.532	1740152752.527
106.200	0.039	0.000	105.836	105.778	24.944	2.874	0.723	-6.005	0.000	4.643	0.723	2437797.213	1740152752.844
106.400	0.045	0.000	106.027	105.975	22.625	3.855	0.724	-3.906	0.000	3.851	0.724	1884616.377	1740152753.126
106.600	-0.045	0.000	106.225	106.169	18.901	4.832	0.725	1.000	0.000	4.836	0.725	288.208	1740152753.452
106.800	-0.035	0.000	106.426	106.372	16.869	5.955	0.727	3.278	0.000	5.969	0.727	10523.942	1740152753.755
107.000	-0.018	0.000	106.629	106.565	12.663	0.003	0.728	2.331	0.000	1.840	0.728	59102.233	1740152754.075
107.200	0.008	0.000	106.824	106.766	15.476	1.033	0.729	1.006	0.000	2.851	0.729	55575.285	1740152754.394
107.400	-0.006	0.000	107.023	106.968	8.747	2.118	0.731	-2.102	0.000	4.006	0.731	1957533.505	1740152754.684
107.600	-0.009	0.000	107.233	107.170	12.336	2.311	0.732	-2.057	0.000	4.200	0.732	15133.827	1740152755.004
107.800	0.002	0.000	107.446	107.376	14.301	3.417	0.734	-2.646	0.000	3.422	0.734	112.968	1740152755.324
108.000	0.048	0.000	107.629	107.571	10.640	4.248	0.735	-0.699	0.000	4.224	0.735	4882.716	1740152755.638
108.200	-0.051	0.000	107.826	107.769	13.629	4.814	0.736	0.520	0.000	4.823	0.736	69786.233	1740152755.948
108.400	-0.003	0.000	108.028	107.967	14.084	5.912	0.738	2.570	0.000	5.900	0.738	73830.767	1740152756.257
108.600	-0.013	0.000	108.224	108.170	17.655	0.109	0.739	3.992	0.000	2.080	0.739	368982.435	1740152756.554
108.800	-0.006	0.000	108.386	108.342	20.430	1.389	0.740	0.971	0.000	3.341	0.740	1632283.821	1740152756.833
109.000	0.049	0.000	108.610	108.546	14.139	2.495	0.742	-2.734	0.000	4.478	0.742	68514.102	1740152757.159
109.200	-0.035	0.000	108.814	108.756	11.768	2.774	0.743	-3.017	0.000	4.787	0.743	647747.933	1740152757.452
109.400	0.060	0.000	108.984	108.943	12.786	3.727	0.744	-1.582	0.000	3.746	0.744	449422.657	1740152757.729
109.600	0.036	0.000	109.167	109.122	15.057	3.980	0.746	-1.637	0.000	3.959	0.746	46617.193	1740152757.979
109.800	-0.061	0.000	109.397	109.333	26.526	5.022	0.747	2.208	0.000	5.038	0.747	143794.032	1740152758.302
110.000	-0.057	0.000	109.581	109.535	35.706	0.220	0.749	5.858	0.000	2.290	0.749	2538820.631	1740152758.588
110.200	-0.030	0.000	109.788	109.735	22.500	1.363	0.750	0.377	0.000	3.416	0.750	41580.130	1740152758.887
110.400	-0.015	0.000	109.978	109.930	15.310	1.904	0.751	-1.324	0.000	4.010	0.751	78420.857	1740152759.144
110.600	-0.013	0.000	110.147	110.103	21.176	2.574	0.753	-3.767	0.000	4.677	0.753	287964.694	1740152759.405
110.800	0.037	0.000	110.382	110.316	22.764	3.054	0.754	-5.324	0.000	3.068	0.754	380137.352	1740152759.703
111.000	0.012	0.000	110.608	110.543	36.572	4.402	0.755	-1.185	0.000	4.375	0.755	10265.296	1740152760.040
111.200	-0.069	0.000	110.814	110.755	35.483	5.409	0.757	4.761	0.000	5.419	0.757	1482217.328	1740152760.347
111.400	-0.003	0.000	111.019	110.960	44.734	0.251	0.758	7.859	0.000	2.433	0.758	1985768.895	1740152760.673
111.600	0.003	0.000	111.218	111.166	44.934	1.534	0.759	-0.132	0.000	3.709	0.759	2406298.910	1740152760.968
111.800	-0.006	0.000	111.412	111.360	36.816	2.591	0.761	-6.518	0.000	4.795	0.761	1183271.564	1740152761.261
112.000	0.001	0.000	111.629	111.563	31.082	3.556	0.762	-5.378	0.000	3.560	0.762	144840.602	1740152761.589
112.200	0.059	0.000	111.829	111.769	24.734	4.445	0.763	-1.010	0.000	4.416	0.763	444275.186	1740152761.901
112.400	-0.007	0.000	112.029	111.966	26.572	5.380	0.765	3.893	0.000	5.406	0.765	142592.860	1740152762.214
112.600	0.008	0.000	112.230	112.172	19.889	0.240	0.766	3.774	0.000	2.513	0.766	134346.059	1740152762.533
112.800	0.028	0.000	112.436	112.374	10.929	1.043	0.768	0.361	0.000	3.270	0.768	480810.654	1740152762.831
113.000	0.027	0.000	112.630	112.572	11.499	0.982	0.769	0.280	0.000	3.227	0.769	1027161.526	1740152763.151
113.200	-0.019	0.000	112.837	112.771	20.646	1.906	0.770	-1.848	0.000	4.230	0.770	185222.958	1740152763.470
113.400	0.019	0.000	113.033	112.970	19.492	3.129	0.772	-3.816	0.000	3.148	0.772	241649.593	1740152763.788
113.600	-0.025	0.000	113.228	113.170	19.918	3.868	0.773	-2.068	0.000	3.846	0.773	1127784.475	1740152764.106
113.800	-0.007	0.000	113.421	113.368	17.994	4.972	0.774	1.027	0.000	4.993	0.774	523328.460	1740152764.389
114.000	-0.051	0.000	113.640	113.567	17.968	5.591	0.776	3.141	0.000	5.615	0.776	102708.215	1740152764.718
114.200	0.009	0.000	113.828	113.769	17.227	0.372	0.777	2.211	0.000	2.767	0.777	2112956.538	1740152765.042
114.400	0.023	0.000	114.029	113.974	13.466	1.057	0.778	1.712	0.000	3.417	0.778	1281419.870	1740152765.338
114.600	-0.011	0.000	114.233	114.169	14.265	1.475	0.780	0.320	0.000	3.874	0.780	541690.002	1740152765.645
114.800	-0.074	0.000	114.426	114.371	26.172	2.533	0.781	-4.491	0.000	4.971	0.781	569532.193	1740152765.962
115.000	0.070	0.000	114.633	114.577	22.462	3.705	0.783	-3.020	0.000	3.695	0.783	867408.407	1740152766.284
115.200	-0.029	0.000	114.827	114.770	19.157	4.562	0.784	0.259	0.000	4.546	0.784	101446.095	1740152766.594
115.400	0.002	0.000	115.027	114.968	18.250	5.295	0.785	2.019	0.000	5.326	0.785	940868.127	1740152766.914
115.600	0.013	0.000	115.226	115.171	17.846	6.044	0.787	3.760	0.000	6.058	0.787	18296.228	1740152767.204
115.800	0.018	0.000	115.428	115.367	22.691	0.374	0.788	3.411	0.000	2.877	0.788	1356211.798	1740152767.525
116.000	-0.043	0.000	115.636	115.573	28.136	1.683	0.789	-1.850	0.000	4.208	0.789	168276.508	1740152767.853
116.200	0.008	0.000	115.822	115.768	27.275	2.371	0.791	-4.730	0.000	4.924	0.791	1914.103	1740152768.149
116.400	0.057	0.000	116.028	115.968	33.650	3.551	0.792	-4.842	0.000	3.552	0.792	3070540.118	1740152768.488
116.600	0.001	0.000	116.222	116.170	22.628	4.558	0.793	-0.497	0.000	4.543	0.793	450745.581	1740152768.774
116.800	-0.058	0.000	116.425	116.368	27.558	5.126	0.795	3.059	0.000	5.162	0.795	20976.540	1740152769.074
117.000	0.018	0.000	116.587	116.539	32.688	0.029	0.796	5.133	0.000	2.636	0.796	6276149.445	1740152769.361
117.200	0.021	0.000	116.796	116.742	17.785	0.866	0.798	2.368	0.000	3.436	0.798	200395.186	1740152769.628
117.400	-0.000	0.000	116.970	116.926	24.764	1.319	0.799	0.799	0.000	3.911	0.799	312925.074	1740152769.910
117.600	0.055	0.000	117.198	117.132	27.603	2.422	0.800	-4.069	0.000	5.075	0.800	1629501.602	1740152770.239
117.800	-0.000	0.000	117.408	117.352	24.719	3.533	0.802	-3.789	0.000	3.538	0.802	1292929.382	1740152770.539
118.000	-0.009	0.000	117.616	117.555	22.467	4.423	0.803	-0.414	0.000	4.393	0.803	87728.138	1740152770.838
118.200	-0.018	0.000	117.824	117.765	16.888	5.116	0.804	1.675	0.000	5.154	0.804	122405.035	1740152771.154
118.400	0.028	0.000	118.027	117.964	21.596	5.689	0.806	3.079	0.000	5.706	0.806	2927377.111	1740152771.484
118.600	0.061	0.000	118.222	118.169	26.606	0.366	0.807	4.005	0.000	3.075	0.807	2069986.910	1740152771.790
118.800	0.012	0.000	118.426	118.368	28.909	1.284	0.808	0.364	0.000	3.977	0.808	395750.566	1740152772.102
119.000	-0.049	0.000	118.623	118.567	32.483	2.325	0.810	-4.567	0.000	5.094	0.810	1921691.965	1740152772.388
119.200	0.025	0.000	118.838	118.773	23.533	3.466	0.811	-3.159	0.000	3.472	0.811	4129610.304	1740152772.716
119.400	-0.072	0.000	119.027	118.970	18.124	3.995	0.812	-1.544	0.000	3.953	0.812	581881.694	1740152773.028
119.600	0.021	0.000	119.224	119.169	30.841	4.361	0.814	-1.038	0.000	4.326	0.814	146854.260	1740152773.333
119.800	-0.037	0.000	119.432	119.368	47.290	5.480	0.815	6.144	0.000	5.507	0.815	8194914.627	1740152773.671
120.000	-0.005	0.000	119.623	119.574	56.708	0.558	0.817	7.612	0.000	3.352	0.817	5600452.067	1740152773.962
120.200	0.060	0.000	119.830	119.769	48.944	1.681	0.818	-2.405	0.000	4.531	0.818	386079.066	1740152774.279
120.400	0.026	0.000	119.984	119.944	46.549	2.581	0.819	-6.360	0.000	5.448	0.819	16744969.232	1740152774.535
120.600	0.004	0.000	120.195	120.136	38.783	3.557	0.821	-5.208	0.000	3.552	0.821	6149876.898	1740152774.819
120.800	0.026	0.000	120.420	120.351	32.201	4.570	0.822	0.417	0.000	4.554	0.822	162903.466	1740152775.149
121.000	0.004	0.000	120.579	120.539	30.251	5.527	0.823	4.064	0.000	5.555	0.823	3246194.567	1740152775.424
121.200	-0.045	0.000	120.799	120.739	21.600	0.301	0.825	3.430	0.000	3.205	0.825	1054296.032	1740152775.713
121.400	0.000	0.000	121.009	120.950	12.127	0.695	0.826	1.538	0.000	3.586	0.826	71923.132	1740152776.024
121.600	0.002	0.000	121.173	121.131	14.100	1.082	0.827	0.958	0.000	3.968	0.827	14437.666	1740152776.281
121.800	0.029	0.000	121.397	121.335	20.485	1.700	0.829	-1.634	0.000	4.674	0.829	307951.570	1740152776.588
122.000	-0.004	0.000	121.611	121.549	30.546	2.926	0.830	-4.738	0.000	5.900	0.830	6047517.555	1740152776.894
122.200	-0.040	0.000	121.839	121.768	22.894	4.245	0.832	-0.425	0.000	4.190	0.832	2427787.096	1740152777.239
122.400	-0.000	0.000	122.031	121.974	21.597	4.844	0.833	0.403	0.000	4.865	0.833	1388599.296	1740152777.534
122.600	-0.079	0.000	122.224	122.165	18.826	5.688	0.834	2.563	0.000	5.715	0.834	2351037.730	1740152777.860
122.800	-0.000	0.000	122.423	122.369	28.532	0.086	0.836	4.611	0.000	3.121	0.836	3263863.018	1740152778.140
123.000	0.024	0.000	122.614	122.559	28.702	1.207	0.837	0.625	0.000	4.210	0.837	667505.473	1740152778.443
123.200	0.044	0.000	122.787	122.742	23.848	2.177	0.838	-1.806	0.000	5.261	0.838	5887106.149	1740152778.721
123.400	0.044	0.000	123.008	122.944	19.564	2.854	0.840	-2.444	0.000	5.929	0.840	5427427.396	1740152779.021
123.600	0.022	0.000	123.218	123.155	19.148	3.712	0.841	-1.917	0.000	3.671	0.841	2490511.553	1740152779.339
123.800	-0.013	0.000	123.426	123.364	21.006	4.123	0.842	-0.702	0.000	4.077	0.842	2537745.713	1740152779.657
124.000	0.006	0.000	123.625	123.565	38.117	5.114	0.844	2.450	0.000	5.149	0.844	6947155.691	1740152779.975
124.200	0.090	0.000	123.827	123.770	40.908	0.076	0.845	5.957	0.000	3.217	0.845	10882005.957	1740152780.287
124.400	0.034	0.000	124.029	123.971	32.262	1.042	0.847	0.964	0.000	4.143	0.847	4538008.039	1740152780.617
124.600	0.024	0.000	124.223	124.173	43.422	1.916	0.848	-2.771	0.000	5.114	0.848	5085929.785	1740152780.904
124.800	0.009	0.000	124.426	124.365	44.461	3.082	0.849	-5.389	0.000	3.089	0.849	28904155.275	1740152781.222
125.000	0.019	0.000	124.619	124.565	30.737	4.175	0.851	-1.386	0.000	4.127	0.851	1709272.606	1740152781.535
125.200	-0.005	0.000	124.827	124.770	32.177	4.832	0.852	1.573	0.000	4.850	0.852	289379.068	1740152781.841
125.400	0.030	0.000	125.021	124.964	34.522	5.917	0.853	4.750	0.000	5.925	0.853	9867360.519	1740152782.134
125.600	-0.005	0.000	125.224	125.167	18.993	0.695	0.855	1.414	0.000	3.896	0.855	2433921.457	1740152782.462
125.800	0.054	0.000	125.437	125.371	22.550	1.166	0.856	0.595	0.000	4.372	0.856	555146.215	1740152782.783
126.000	0.032	0.000	125.629	125.570	22.991	2.103	0.857	-1.385	0.000	5.406	0.857	5358527.034	1740152783.106
126.200	0.057	0.000	125.829	125.771	19.333	3.151	0.859	-2.137	0.000	3.156	0.859	6148224.786	1740152783.420
126.400	0.012	0.000	126.030	125.973	16.976	3.760	0.860	-1.644	0.000	3.734	0.860	1521557.950	1740152783.721
126.600	-0.058	0.000	126.230	126.171	10.981	4.321	0.861	-0.662	0.000	4.283	0.861	83809.733	1740152784.028
126.800	-0.000	0.000	126.441	126.377	19.370	4.732	0.863	1.034	0.000	4.740	0.863	137461.069	1740152784.361
127.000	-0.042	0.000	126.628	126.572	32.127	5.709	0.864	4.159	0.000	5.724	0.864	5834480.628	1740152784.668
127.200	0.006	0.000	126.829	126.770	37.631	0.656	0.866	2.610	0.000	3.987	0.866	13502636.603	1740152784.989
127.400	-0.054	0.000	127.028	126.973	34.774	1.845	0.867	-1.752	0.000	5.251	0.867	2838667.851	1740152785.278
127.600	0.034	0.000	127.227	127.168	22.775	2.811	0.868	-2.574	0.000	6.214	0.868	7758337.366	1740152785.600
127.800	-0.030	0.000	127.449	127.382	22.888	3.187	0.870	-2.264	0.000	3.194	0.870	9507047.800	1740152785.929
128.000	0.059	0.000	127.631	127.574	28.453	4.021	0.871	-1.191	0.000	3.969	0.871	5773401.402	1740152786.250
128.200	-0.075	0.000	127.823	127.772	37.678	4.971	0.872	1.735	0.000	4.999	0.872	3371251.038	1740152786.545
128.400	0.035	0.000	128.030	127.966	38.160	6.152	0.874	3.933	0.000	3.330	0.874	26838503.214	1740152786.870
128.600	-0.000	0.000	128.235	128.173	29.161	0.587	0.875	2.386	0.000	4.025	0.875	6415938.663	1740152787.159
128.800	-0.019	0.000	128.439	128.371	39.427	1.407	0.876	-0.677	0.000	4.869	0.876	770990.556	1740152787.484
129.000	-0.038	0.000	128.634	128.574	48.829	2.530	0.878	-5.134	0.000	6.044	0.878	25581879.929	1740152787.810
129.200	-0.005	0.000	128.833	128.774	46.758	3.627	0.879	-4.266	0.000	3.607	0.879	17910616.756	1740152788.121
129.400	-0.019	0.000	129.010	128.963	43.484	4.571	0.881	0.574	0.000	4.552	0.881	195516.873	1740152788.389
129.600	-0.028	0.000	129.210	129.152	35.209	5.834	0.882	3.813	0.000	5.843	0.882	15129896.458	1740152788.695
129.800	0.010	0.000	129.414	129.351	22.411	0.256	0.883	2.377	0.000	3.811	0.883	4348641.258	1740152789.012
130.000	0.028	0.000	129.615	129.558	20.917	0.791	0.885	1.176	0.000	4.315	0.885	2619180.993	1740152789.327
130.200	-0.027	0.000	129.821	129.763	28.668	1.778	0.886	-1.013	0.000	5.394	0.886	1964288.893	1740152789.613
130.400	0.033	0.000	130.025	129.965	20.444	2.599	0.887	-2.156	0.000	6.219	0.887	4676926.821	1740152789.938
130.600	-0.032	0.000	130.233	130.172	26.125	3.546	0.889	-2.296	0.000	3.532	0.889	7713705.203	1740152790.258
130.800	-0.048	0.000	130.430	130.371	21.592	4.681	0.890	0.614	0.000	4.681	0.890	10.948	1740152790.578
131.000	-0.031	0.000	130.632	130.571	10.603	5.063	0.891	-0.261	0.000	5.100	0.891	3448120.004	1740152790.878
131.200	0.028	0.000	130.800	130.753	19.940	5.300	0.893	2.297	0.000	5.336	0.893	203361.631	1740152791.135
131.400	0.023	0.000	131.004	130.942	27.828	0.237	0.894	2.567	0.000	3.912	0.894	9203965.431	1740152791.450
131.600	-0.021	0.000	131.214	131.153	19.755	1.389	0.895	0.244	0.000	5.069	0.895	29156.455	1740152791.775
131.800	0.045	0.000	131.416	131.360	20.672	1.833	0.897	-0.754	0.000	5.579	0.897	1801557.136	1740152792.071
132.000	-0.032	0.000	131.630	131.564	21.441	2.780	0.898	-1.902	0.000	0.232	0.898	8236704.039	1740152792.380
132.200	-0.005	0.000	131.830	131.771	23.179	3.239	0.900	-2.524	0.000	3.246	0.900	5010352.705	1740152792.697
132.400	-0.045	0.000	132.025	131.967	45.384	4.371	0.901	-0.330	0.000	4.326	0.901	2397520.109	1740152793.013
132.600	0.001	0.000	132.230	132.172	37.723	5.705	0.902	3.483	0.000	5.720	0.902	16499337.752	1740152793.338
132.800	0.026	0.000	132.430	132.374	36.449	6.231	0.904	2.798	0.000	3.746	0.904	29267302.029	1740152793.650
133.000	-0.027	0.000	132.629	132.573	48.929	1.232	0.905	0.308	0.000	4.991	0.905	2620083.389	1740152793.960
133.200	-0.021	0.000	132.833	132.777	40.493	2.330	0.906	-2.705	0.000	6.171	0.906	22160313.547	1740152794.267
133.400	-0.035	0.000	133.034	132.970	33.801	3.108	0.908	-2.796	0.000	3.109	0.908	20737920.014	1740152794.604
133.600	-0.002	0.000	133.228	133.173	38.123	3.912	0.909	-1.290	0.000	3.862	0.909	15600026.184	1740152794.906
133.800	0.012	0.000	133.421	133.365	36.740	5.044	0.910	1.255	0.000	5.076	0.910	7348710.979	1740152795.214
134.000	-0.035	0.000	133.625	133.566	29.364	5.740	0.912	2.462	0.000	5.754	0.912	11422167.992	1740152795.512
134.200	0.027	0.000	133.836	133.772	35.690	0.604	0.913	2.090	0.000	4.464	0.913	11538343.911	1740152795.837
134.400	0.003	0.000	134.029	133.970	24.693	1.558	0.915	-0.220	0.000	5.473	0.915	337791.698	1740152796.149
134.600	0.024	0.000	134.228	134.170	24.315	1.981	0.916	-1.280	0.000	5.933	0.916	2336515.655	1740152796.469
134.800	-0.021	0.000	134.430	134.373	32.045	3.030	0.917	-2.188	0.000	3.034	0.917	22470309.956	1740152796.756
135.000	-0.012	0.000	134.631	134.571	21.875	4.178	0.919	-0.461	0.000	4.123	0.919	1641387.411	1740152797.074
135.200	0.023	0.000	134.839	134.774	15.135	4.781	0.920	0.591	0.000	4.795	0.920	17146.625	1740152797.392
135.400	0.052	0.000	134.988	134.948	18.108	5.298	0.921	1.281	0.000	5.329	0.921	1500783.942	1740152797.649
135.600	-0.005	0.000	135.206	135.141	16.732	6.042	0.923	1.307	0.000	6.054	0.923	4961010.886	1740152797.954
135.800	-0.115	0.000	135.418	135.359	16.450	0.041	0.924	0.606	0.000	4.042	0.924	9397350.393	1740152798.273
136.000	-0.041	0.000	135.626	135.561	41.980	0.896	0.925	1.255	0.000	4.871	0.925	8606593.889	1740152798.600
136.200	-0.026	0.000	135.828	135.770	53.780	2.417	0.927	-3.620	0.000	0.193	0.927	34581045.396	1740152798.920
136.400	0.036	0.000	136.016	135.967	46.574	3.419	0.928	-2.089	0.000	3.410	0.928	48945840.076	1740152799.221
136.600	0.020	0.000	136.226	136.167	43.139	4.367	0.930	-0.247	0.000	4.329	0.930	1966221.074	1740152799.540
136.800	-0.027	0.000	136.431	136.374	50.863	5.366	0.931	2.229	0.000	5.392	0.931	32379529.789	1740152799.841
137.000	-0.008	0.000	136.631	136.568	43.631	0.217	0.932	2.794	0.000	4.310	0.932	29176077.289	1740152800.168
137.200	0.039	0.000	136.830	136.774	39.913	1.066	0.934	0.643	0.000	5.131	0.934	3940636.160	1740152800.490
137.400	-0.020	0.000	137.027	136.972	36.051	2.062	0.935	-1.803	0.000	6.236	0.935	8131817.962	1740152800.794
137.600	0.044	0.000	137.226	137.169	31.211	2.706	0.936	-1.278	0.000	0.585	0.936	26269193.905	1740152801.092
137.800	-0.030	0.000	137.425	137.368	43.602	3.665	0.938	-1.186	0.000	3.634	0.938	34240001.246	1740152801.394
138.000	-0.030	0.000	137.585	137.543	36.123	4.804	0.939	0.968	0.000	4.823	0.939	519650.782	1740152801.662
138.200	0.014	0.000	137.807	137.742	20.633	5.608	0.940	0.909	0.000	5.621	0.940	7411595.397	1740152801.964
138.400	-0.006	0.000	138.017	137.953	27.881	6.066	0.942	1.203	0.000	6.065	0.942	20076722.511	1740152802.287
138.600	-0.056	0.000	138.235	138.168	26.171	1.081	0.943	0.078	0.000	5.250	0.943	2301335.973	1740152802.609
138.800	0.005	0.000	138.425	138.366	21.839	1.646	0.944	-0.172	0.000	5.909	0.944	813446.352	1740152802.918
139.000	-0.007	0.000	138.627	138.566	26.140	2.459	0.946	-0.884	0.000	0.453	0.946	14203877.291	1740152803.233
139.200	0.001	0.000	138.831	138.771	28.920	3.369	0.947	-0.607	0.000	3.359	0.947	23834714.265	1740152803.524
139.400	-0.002	0.000	139.029	138.970	25.011	4.429	0.949	-0.365	0.000	4.392	0.949	315.266	1740152803.843
139.600	0.039	0.000	139.190	139.149	21.769	5.271	0.950	0.997	0.000	5.299	0.950	2678398.095	1740152804.115
139.800	0.012	0.000	139.403	139.345	16.852	5.699	0.951	0.156	0.000	5.719	0.951	8851604.076	1740152804.423
140.000	0.007	0.000	139.608	139.550	20.175	0.007	0.953	0.416	0.000	4.344	0.953	12888511.875	1740152804.714
140.200	-0.006	0.000	139.833	139.766	33.133	0.981	0.954	0.322	0.000	5.272	0.954	4544196.383	1740152805.048
140.400	-0.065	0.000	140.027	139.967	32.469	1.959	0.955	-0.698	0.000	0.070	0.955	7345698.293	1740152805.360
140.600	0.019	0.000	140.230	140.170	44.005	2.774	0.957	-1.227	0.000	0.874	0.957	49974710.349	1740152805.685
140.800	-0.016	0.000	140.427	140.373	44.616	4.100	0.958	0.146	0.000	4.041	0.958	15076803.495	1740152805.991
141.000	0.012	0.000	140.623	140.569	34.000	4.840	0.959	0.376	0.000	4.861	0.959	2946782.842	1740152806.278
141.200	-0.001	0.000	140.832	140.771	46.433	5.635	0.961	1.096	0.000	5.649	0.961	46102983.528	1740152806.605
141.400	-0.004	0.000	141.029	140.972	48.720	0.409	0.962	0.051	0.000	4.826	0.962	63240002.901	1740152806.919
141.600	0.031	0.000	141.224	141.170	54.336	1.335	0.964	-0.783	0.000	5.757	0.964	2035730.658	1740152807.229
141.800	0.002	0.000	141.435	141.372	53.184	2.610	0.965	-1.266	0.000	0.810	0.965	63238042.693	1740152807.553
142.000	-0.039	0.000	141.624	141.568	44.110	3.594	0.966	0.037	0.000	3.564	0.966	48320810.082	1740152807.843
142.200	-0.010	0.000	141.840	141.771	39.000	4.407	0.968	1.056	0.000	4.362	0.968	5696106.429	1740152808.159
142.400	0.025	0.000	141.991	141.949	40.248	5.318	0.969	1.386	0.000	5.342	0.969	11671413.577	1740152808.421
142.600	0.033	0.000	142.203	142.142	34.340	6.283	0.970	0.326	0.000	4.529	0.970	34642851.050	1740152808.724
142.800	0.021	0.000	142.427	142.357	26.790	1.114	0.972	-0.155	0.000	5.606	0.972	1940486.773	1740152809.053
143.000	-0.026	0.000	142.617	142.561	17.088	1.705	0.973	-0.174	0.000	6.283	0.973	561358.943	1740152809.359
143.200	0.013	0.000	142.831	142.767	21.758	2.168	0.974	-0.792	0.000	0.484	0.974	2556844.055	1740152809.675
143.400	0.006	0.000	143.034	142.972	29.488	3.092	0.976	-0.294	0.000	3.086	0.976	22348669.036	1740152809.996
143.600	-0.033	0.000	143.224	143.170	30.906	4.375	0.977	0.634	0.000	4.323	0.977	2293760.498	1740152810.289
143.800	0.028	0.000	143.435	143.371	14.713	5.422	0.979	-0.292	0.000	5.432	0.979	5815401.277	1740152810.607
144.000	0.007	0.000	143.601	143.555	15.160	5.645	0.980	-0.231	0.000	5.655	0.980	6627223.173	1740152810.889
144.200	0.027	0.000	143.806	143.748	12.557	0.006	0.981	0.162	0.000	4.664	0.981	3521207.042	1740152811.184
144.400	0.053	0.000	144.024	143.958	16.710	0.489	0.983	-0.063	0.000	5.126	0.983	4627458.325	1740152811.505
144.600	0.038	0.000	144.227	144.170	24.841	1.210	0.984	-0.149	0.000	5.847	0.984	958430.648	1740152811.812
144.800	0.014	0.000	144.424	144.362	39.349	2.084	0.985	-0.036	0.000	0.526	0.985	19113882.632	1740152812.138
